==================================
           facebook.com
==================================
Source -> Destination
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> adsrich.tcdn.qq.com
Loris.local -> cesu.tcdn.qq.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
cesu.tcdn.qq.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> www.paipai.tcdn.qq.com
img1.gtimg.com -> Loris.local
adsrich.tcdn.qq.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> trace.qq.com
img1.gtimg.com -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> www.paipai.tcdn.qq.com
Loris.local -> www.paipai.tcdn.qq.com
Loris.local -> www.paipai.tcdn.qq.com
Loris.local -> www.paipai.tcdn.qq.com
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
trace.qq.com -> Loris.local
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
www.paipai.tcdn.qq.com -> Loris.local
Loris.local -> www.paipai.tcdn.qq.com
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
a1574.b.akamai.net -> Loris.local
Loris.local -> img1.gtimg.com
www.paipai.tcdn.qq.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> www.paipai.tcdn.qq.com
www.paipai.tcdn.qq.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> img1.gtimg.com
a1574.b.akamai.net -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> img1.gtimg.com
www.paipai.tcdn.qq.com -> Loris.local
www.paipai.tcdn.qq.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
Loris.local -> reverse.gdsz.cncnet.net
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> w.l.qq.com
Loris.local -> fw.qq.com
Loris.local -> l.qq.com
reverse.gdsz.cncnet.net -> Loris.local
w.l.qq.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
a1574.b.akamai.net -> Loris.local
fw.qq.com -> Loris.local
Loris.local -> a1574.b.akamai.net
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> forward.paipai.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
a1574.b.akamai.net -> Loris.local
www.paipai.tcdn.qq.com -> Loris.local
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
l.qq.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
a1574.b.akamai.net -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
a1574.b.akamai.net -> Loris.local
Loris.local -> img1.gtimg.com
forward.paipai.com -> Loris.local
Loris.local -> qt.gtimg.cn
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
www.paipai.tcdn.qq.com -> Loris.local
Loris.local -> isdspeed.qq.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> weather.gtimg.cn
Loris.local -> img1.gtimg.com
qt.gtimg.cn -> Loris.local
Loris.local -> www.paipai.tcdn.qq.com
isdspeed.qq.com -> Loris.local
Loris.local -> ugc.qpic.cn
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
weather.gtimg.cn -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
Loris.local -> adsfile.tcdn.qq.com
Loris.local -> adsfile.tcdn.qq.com
Loris.local -> adsfile.tcdn.qq.com
Loris.local -> adsfile.tcdn.qq.com
Loris.local -> adsfile.tcdn.qq.com
www.paipai.tcdn.qq.com -> Loris.local
adsfile.tcdn.qq.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> 114.qq.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
ugc.qpic.cn -> Loris.local
Loris.local -> img1.gtimg.com
adsfile.tcdn.qq.com -> Loris.local
adsfile.tcdn.qq.com -> Loris.local
adsfile.tcdn.qq.com -> Loris.local
adsfile.tcdn.qq.com -> Loris.local
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> img1.gtimg.com
Loris.local -> z.split.alimama.com
img1.gtimg.com -> Loris.local
Loris.local -> p.l.qq.com
z.split.alimama.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
Loris.local -> ppaipaiimg.tcdn.qq.com
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
img1.gtimg.com -> Loris.local
p.l.qq.com -> Loris.local
Loris.local -> scorpio.danuoyi.tbcache.com
scorpio.danuoyi.tbcache.com -> Loris.local
ppaipaiimg.tcdn.qq.com -> Loris.local
Loris.local -> scorpio.danuoyi.tbcache.com
scorpio.danuoyi.tbcache.com -> Loris.local
114.qq.com -> Loris.local
Loris.local -> z.split.alimama.com
Loris.local -> z.split.alimama.com
z.split.alimama.com -> Loris.local
Loris.local -> taobao.com
a1725.dspl.akamai.net -> Loris.local
Loris.local -> scorpio.danuoyi.tbcache.com
taobao.com -> Loris.local
scorpio.danuoyi.tbcache.com -> Loris.local
Loris.local -> taurus03.danuoyi.tbcache.com
Loris.local -> taurus01.danuoyi.tbcache.com
Loris.local -> scorpio.danuoyi.tbcache.com
taurus03.danuoyi.tbcache.com -> Loris.local
taurus01.danuoyi.tbcache.com -> Loris.local
scorpio.danuoyi.tbcache.com -> Loris.local
Loris.local -> taobao.com
Loris.local -> taobao.com
taobao.com -> Loris.local
taobao.com -> Loris.local
Loris.local -> taobao.com
taobao.com -> Loris.local
Loris.local -> acookie.taobao.com
acookie.taobao.com -> Loris.local
Loris.local -> log.split.mmstat.com
Loris.local -> hz.mmstat.alibaba.com
log.split.mmstat.com -> Loris.local
hz.mmstat.alibaba.com -> Loris.local
Loris.local -> log.split.mmstat.com
Loris.local -> acookie.taobao.com
log.split.mmstat.com -> Loris.local
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
a1574.b.akamai.net -> Loris.local
acookie.taobao.com -> Loris.local
Loris.local -> a1574.b.akamai.net
a1574.b.akamai.net -> Loris.local
==================================
           amazon.com
==================================
Loris.local -> amazon.com
amazon.com -> Loris.local
Loris.local -> www.amazon.com
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
Loris.local -> a1248.g.akamai.net
Loris.local -> a1248.g.akamai.net
